src	dest
GNAI3	HEBP1
FABP4	MED23
SART1	POLR2F
PPP1R12B	ROCK2
CTDP1	GTF2H1
NRAS	TPM3
HRAS	CAV2
CNOT6	CNOT8
PAFAH1B1	CDC20
DNAJC8	PQBP1
RPL31	MAGOHB
OR2I1P	GNB1
RPL19	DDOST
EXOSC3	PWP2
NFKB2	IL18
PRKACB	KCNMA1
POLR2J	HNRNPL
FBXW12	ZNRF2
PRKACA	OR10G4
PCDHB12	CDH5
SNRNP48	RNPC3
EPN1	CTTN
RILP	DCTN3
SIAH1	SMURF2
HLA-DRB4	AP1B1
GRM6	GNAI1
SSR1	SRPRB
CDK5RAP2	CEP162
DCTN4	KIF2A
PCDHA3	CDH19
IGHV1-46	IGHD
ITGAM	PLAU
SMARCD3	MED22
CTNNB1	FAT1
PSMC4	ANAPC2
NOX3	NOXA1
FUS	RNPS1
SUMF2	ARSI
V3-4	GRAP2
ITGAV	LIMS1
TAF1	WTAP
PDGFRA	SH3GL2
ARRB1	OR4E2
LOC728835	CCR6
GRM8	GNAQ
NUP43	SKA1
MAGOHB	RNPS1
ZNF335	ASH2L
GNAI3	CCL21
INPP5B	RAC3
MRPL43	MRPL17
RAF1	CCL11
IGHV3-11	FCER1G
NPS	GNA15
CD247	TYK2
BMS1	UTP11
INTS4	INTS7
TMED2	KIF5A
LDLRAP1	AP2M1
HNRNPC	CWC15
XRN2	RPP40
AVP	GNAS
EXOSC3	TNPO1
FOXA2	CIAO1
E2F5	EP300
SNRPG	GEMIN2
SERPINE2	F13B
PRKACB	OR10K2
ACTR1B	MYH7B
DYNC1LI2	TMED2
ITGB7	ITGAM
IGLV2-8	NCKAP1
PPP2R2A	RPS16
CENPW	SMARCA5
SDC2	TNFRSF13B
SHC1	FGF5
NFYB	ZNF107
SMG8	UPF3A
THOC3	U2AF2
CTCF	MAML2
ITGA3	COL19A1
FOS	EDN1
COL5A1	ACTN3
ATF1	VIPR1
LSM7	HNRNPA2B1
NFIC	POLR3F
UBC	UBE2N
IGKV A18	GAB2
JUP	ACTC1
RPL37	RPL23
LEF1	NOL3
CDH4	CTNNA1
PSMD13	SMURF2
VAMP3	STX10
PTK2B	LYN
FBXO10	FBXO9
HNRNPD	SYMPK
POLD4	AQR
DVL2	FNBP1L
AMBP	V1-5
HGS	EPS15L1
GADD45A	MAP3K4
MRPS27	MRPL3
GRIA1	TRAPPC2L
PCTP	ACOT12
IFT88	IFT81
SIN3B	CREBBP
RPL29	RPL6
OR7C2	GNB1
MED6	CDK4
SLC18A3	CTTN
PPP2R1A	CACNA1F
KIF3A	CDON
SEC23IP	CNIH1
HLA-DOA	HLA-DRB4
PARVA	ITGB6
ARHGEF11	RHOQ
HGS	AP2B1
CCL8	CXCR5
IGFBP2	IGF2
PTK2	NRAS
POLR2K	PPIL1
PRKG1	PPP1CB
SIAH1	PPP2R5B
TULP3	IFT140
ACTR2	REPS2
PCDHB5	FAT2
RTF1	CCNK
IGHV4-59	C1QC
CTBP2	EN2
INS	LEP
MMP19	ACTC1
PSMA3	ODC1
NCBP1	RAN
PSMA6	RNF146
CDC16	ANAPC16
DEF6	RAC1
CASP14	PI3
PTPN11	RAP1B
EIF5B	RPS8
FGF20	EPHA2
IGHV3-11	IGHG2
TUBG2	CEP78
VAMP2	UNC13D
ACVR1C	TGFB3
SIRPA	PTK2B
IGKC	BAIAP2
RXRA	ACOX2
TCEA1	SUPT6H
CEP89	PRKAR2B
OGT	CRTC2
IGLV	V4-1
CLTCL1	SSTR3
DKFZP686L11144	ITGB6
ATP5J2	ATP5I
SART1	POLR2H
AP1S3	HLA-DQA1
FBXW2	UBE2A
HIST3H3	MSH4
SF3B3	DDX46
PCBP2	WBP11
CNOT6	KMT2C
PCDHB11	PCDHB7
WASL	IGHG4
PSENEN	PSEN2
ARFGAP1	TMED9
PDGFA	COL9A2
SMPD1	ASAH1
HLX	IL18R1
RBM5	CSTF1
RPS15A	SSR1
POLR3GL	POLR2E
PIK3R3	PLCB4
CLASP1	NUP107
CSF3	IL2RG
TBP	GTF3C4
GALNT8	MUC19
AURKA	FBXL7
V2-19	PRKCQ
IGHV2-5	ARPC5
KCNC4	KCNAB2
POP7	RPP14
MYC	MAT2A
ANAPC7	RPS27A
PSMD6	LIMD1
VCP	UBXN1
PSMC3	PSMB6
PAPSS1	MAPK1
RPL31	EEF2
B3GAT1	SDC4
PTEN	CDIPT
FNBP1	DNAJC6
GNAS	RLN3
HIF1A	ABCB1
DKFZP686C21148	RAD21
TRAPPC2B	TRAPPC6A
EP300	TIA1
ANAPC7	ANAPC10
PFDN5	TUBB6
AVPR2	CLTCL1
CENPK	CENPU
HIST3H2A	HDAC9
TUBGCP5	PCM1
IGLC6	V1-9
SF3B1	SYMPK
OAZ1	AZIN1
WBP4	FIP1L1
PCDHB18P	PCDH11X
HDAC4	H2AFY
HNRNPUL1	HNRNPA0
SPINK6	KLK14
NR3C1	RARA
BUD31	SART1
SF3B3	SNRPD3
PSEN1	FBXW11
CEP70	TUBGCP6
GNAI1	PXN
NCKAP1	IGKV1D-16
ETS2	MYC
ERCC2	TAF9B
TAB2	NOD1
SRSF6	PABPN1
SF3B5	SNRNP25
IGF-I	GRB2
SHC1	YWHAZ
RPS28	SRPRA
SHB	VAV3
SST	GNAI3
BBS12	BBS1
CPSF1	SNRPB
AGER	PLCB1
ARHGEF1	RAC2
SPTB	RAB1B
RPGRIP1L	TMEM216
FBXO10	RNF115
SEH1L	SLBP
EPAS1	ARNT
MERTK	PROS1
HNRNPUL1	LSM5
BUB1	SPC25
TRAF5	LTBR
PCNA	GTF2H3
GRM5	PLCB3
DNM1	AP2M1
NUP98	CLASP1
USO1	INS
PIK4CA VARIANT PROTEIN	PLCG2
REST	ECD
CDH15	MAPK11
DSN1	CENPC
PPP2CA	RPL22
IGKV2D-28	V2-8
STAT2	DDX60
TAF13	NABP2
NUP160	U2AF2
CCL4L1	CCR10
SPC25	RANBP2
ABI1	IGLC3
BUB3	CENPO
NCOA3	POLR2A
SEH1L	PIAS3
PRKAA2	TSC2
RAPGEF3	PRKACA
FLT1	CRK
DLGAP4	HOMER3
GRK3	OR13D1
AVPR1A	GNA15
ECSIT	NDUFA11
MED19	FABP4
ARF4	TMED3
CLASP1	MAD2L1
TJP2	CLDN17
GCFC2	SKIV2L2
V1-11	CYFIP1
SF3A1	DDX46
PABPC5	BTG3
V1-7	C1S
CBLC	MYC
CCP110	NEK2
CLASP2	CENPP
CETN2	DYNLL1
GTF2B	INTS2
HNRNPK	SRRT
JAK1	IL20RB
PSMB7	LTBR
CACNB4	NCAM1
DHX16	PABPN1
CSNK1D	RPS7
SNRNP70	DDX46
RNF2	PCGF2
TMED10	ARFGAP3
RNF7	ASB18
CCNB2	CENPP
COL14A1	ITGAD
PSMD14	PSMA5
HDAC2	AGT
CHD9	MED24
FBXW11	BORA
CDK7	CDKN1A
CENPE	RANBP2
FOSB	MAFG
DGKB	PLCZ1
HNRNPA3	POLR2I
AKT3	SLC2A5
IGKV A18	ACTB
RNMT	GTF2H2
ACTG1	IGKC
PDGFRA	PIK3CA VARIANT PROTEIN
ACTG1	MYH11
RBBP6	FBXO30
GNA15	PROK1
KAT5	RFC4
EP300	GAS7
SRRT	CWC27
ARHGEF25	GNAQ
CCNT2	SNAPC2
RPP25	RPS23
APP	GNA14
OR5AS1	GNG7
KRT16	KRT82
PUF60	SF3A1
PPARA	G6PC2
GDNF	NRAS
REEP1	OR8I2
FBXL22	FBXL15
FLNB	TLN1
IL21	IL20RA
POM121C	SEH1L
AMER1	AXIN1
POLR2D	RARA
CAPN1	MAPK3
ADCY3	GNG11
MRPL13	MRPL33
POLR2F	HNRNPA3
SAE1	SUMO3
PSMD10	PSMC5
CRNKL1	LSM7
BIRC5	CENPA
HLA-DMA	CD74
EXOC1	EXOC8
SRP68	RPS16
ITGB5	PXN
SF3A2	SF1
SRSF2	PPWD1
SEC23A	HLA-C
TRAK2	GABRA1
CALML5	PDE1C
MEAF6	RUVBL2
PSMD10	DVL2
HLA-DRB1	KIF3B
EXOSC3	NOL11
UBB	ARHGEF18
NCF2	MAPK14
NUP210	SNRPF
RTP2	OR9G1
ARRB2	OR52A1
GRAP2	CDC42
HDAC6	VCP
EGLN1	RPS27A
FBXW8	MIB2
SNAPC3	POLR3A
CHMP6	MAP1LC3B
KRT2	KRT39
RPL17	NCBP2
EP300	ADD2
PRPF8	SRRM2
PIK3R4	BECN1
WIPF3	CD247
EREG	KRAS
ERCC5	POLD2
KMT2D	PAGR1
SNRNP27	CPSF4
HAP1	DNAH7
HEL-S-117	UGT1A10
CCNK	TCEB3B
COPZ2	DYNC1LI1
UBB	FBXO2
CHCHD1	MRPS16
TRIM21	FBXO40
ORC5	CLSPN
TNFSF11	TRAF3
DGCR8	DDX5
USP39	LSM6
EIF3F	EIF4E
IKBKB	TSC2
MTA3	HDAC1
MRPS18C	MRPS14
MARC2	CYB5R3
LIMS2	ITGA2B
PCF11	SRRM2
TOP2A	SUMO3
HNRNPD	WBP11
SUMO3	GTF2H5
CCNK	POLR2H
PTPN11	KLRG1
VASP	ITGB8
CSPG5	VCAN
PHF19	RBBP4
RPL15	RPL30
RPS11	PABPC1
HCAR3	GNAI3
GTF2B	ZNF184
ACTN4	COL10A1
CHD4	MBD3L2
AKT2	ATF6B
SEC22B	SEC24A
COL4A1	CD47
TRAPPC4	GDI1
MYLK	ITGB1
MRPS25	MRPL39
ARPC4	CBL
AP2M1	FCHO2
MRPS33	GADD45GIP1
STAT1	IFITM1
POLR2D	SF3A1
CPSF4	SRSF5
SNRNP200	POLR2A
CCNT2	NELFE
HNRNPL	UPF3B
NEK6	SEH1L
H2BFM	HDAC7
BAMBI	BMP3
PRKACA	OR6K2
PRKCA	YWHAZ
ASZ1	MAEL
PSME3	PSMB10
HLA-DQA1	AP1S2
CXCL9	PF4
PRPF19	CUL4B
MRPL27	MRPL45
NCK1	PXN
CD3G	WAS
ETV4	ETS1
VPS53	SYS1
CORTBP1	HOMER2
MRPS12	MTIF3
SRF	PLOD1
PPIA	PPP3CA
DSN1	NUP98
ARAF	NRAS
CTR9	POLR2J
NDUFB4	NDUFA9
TUBG1	PPP2R1A
ARCN1	BNIP1
ESR2	ESR1
PCDHB16	PCDHGA11
SEC22B	TAP2
VPS72	BRD8
KDR	EPN1
POLR3GL	GTF3C6
CEP164	RAD17
ARHGEF4	RHOT2
EIF2AK4	NFKBIB
PTBP1	SYF2
QRFPR	QRFP
IL17C	IL17RE
PABPC1	RPS11
PCBP1	SRSF1
SMARCB1	TCF7L1
ZW10	ZWILCH
IGHV4-39	V3-3
HIST3H2A	HIST1H2BK
FANCB	FAAP20
SPI1	FCGR1A
SRRM2	CDC5L
C8B	C7
RPL8	SRP19
SNAPC1	INTS10
ARFRP1	STX16
IGKV3-15	V1-16
PCF11	NCBP1
CBLB	KIT
MRPL28	MRPL50
CD151	ITGA6
MRPL2	MRPL12
GRIA4	GRIN1
SEC16A	SEC16B
CD86	CD8B
PRKACA	OR2A4
RNF213	FBXO4
SFRP4	FZD10
PIK3CB	IGHV3-9
NUP107	NUP58
POLR2G	PCNA
GTF2H5	POLD3
V4-2	WASF2
BTRC	UBE2A
COMP	SDC4
FYN	ITK
IGKV A18	IGKC
PRPF6	CLP1
CLEC7A	PLCG2
DGKA	CDS1
HIST1H4A	MSH5
V3-4	MYH2
IGHV3-30	LAT2
DNAJC8	SNRPN
ERBB3	EPN3
RPGRIP1L	RAB3IP
PRKCA	ADCY8
DDX42	CWC25
CWC15	PRPF38A
ATP5H	ATP5G2
E2F1	CCNE1
RANBP2	SNUPN
RPS27A	EIF3C
BCAS2	SKIV2L2
SRRM1	ISY1
RPSA	PPP2R2A
CHUK	SHARPIN
COG6	COPB2
RANGAP1	CENPC
FCF1	SNU13
COG6	ANK1
GNA13	ARHGEF1
CCT3	VBP1
IL3	SHC1
CEP152	CENPJ
GRM8	PLCB2
IGLV7-43	MYH2
NUP160	NPM1
NUDT21	YBX1
COG1	DYNC1LI1
PSMD3	UBE2C
CDCA5	CENPA
GNA15	GPR132
NFIC	POLD2
ADRA2B	ARRB1
IL12RB2	IL18RAP
NUP214	NUP85
PIK3CA VARIANT PROTEIN	SYNJ2
UPF3B	SLU7
PCDHA1	PCDHB1
TP63	SP1
TRADD	NFKBIA
GRK2	OR2H2
CWC25	SNRPN
OR4F6	GNB1
MED20	NCOR1
NCBP1	RPL18A
GFM1	MRPL32
SF3A1	PCBP1
POM121	SNRPD1
MMP9	KITLG
IL5	INPPL1
RTP1	OR5B17
TRA2B	SNRPB
ITGB5	ITGAD
FADD	CASP3
IGF1R	PIK3CA
POLR2I	ICE2
TGFBR3	FKBP1A
WDR33	SRRM1
ETS1	TBP
RPS8	SRP54
CD80	PRKCQ
IGLC7	CBLB
SGIP1	ARPC2
PPARA	APOBR
SEC23IP	CD59
VPS28	CHMP4C
SIN3A	SKIL
DYNLL1	TUBGCP3
SRRT	DDX46
POLR1C	TWISTNB
CPSF3	HNRNPK
OR51H1	GNB1
ACAD9	NDUFS7
IL12B	IL23R
NDC1	CPSF4
KITLG	ORC3
RPA1	GTF2H3
WNT3	FZD10
PSMD13	PSMB11
HLA-DRB1	GRAP2
MYL12A	CGN
NOC4L	MPHOSPH10
DHX9	SRSF2
LSM7	ELAVL1
EPB41L3	NLGN2
CEP70	CEP250
IGLV2-8	CDC42
JUP	MAPRE1
CTBP2	WNT10B
PSMD8	LTB
ATP6V0C	ATP6V1G2
MTMR1	INPP4B
PTCD3	MRPL10
COL7A1	ITGB5
POLR2D	ERCC3
RPL15	EIF4A3
PCDHA9	CDH1
BCKDK	DLD
MRPL39	MRPL1
XAB2	PCBP2
CTBP1	ASH2L
ITGB5	COL11A1
SAG	FZD1
HNRNPD	RPS27A
GFRA1	PRKCA
TIAL1	POLR2L
SUMO2	RGPD5
FGR	IGKV2-30
SIAH1	PPP2CB
OR51A2	GNGT1
CDK8	CARM1
POLR2G	CTR9
LSM3	RBMX
AHR	CARM1
KIRREL	NPHS1
HNRNPM	LSM2
ATXN3	VCP
IGHG4	V1-3
NDUFB6	NDUFV3
S1PR5	RHOA
KIF2A	NDE1
PPP2R5D	MAP1B
DDB1	POLR2L
ERI1	MPHOSPH6
PLA2G4E	PRKCD
COG5	DCTN1
ECSIT	MT-ND5
EIF3H	EIF4A2
TRAPPC6B	SEC24D
HAUS2	AJUBA
RPL35	RPL27
RPS12	EIF2S1
NDUFB9	NDUFA13
PIK3R1	RHOA
TCEB2	POLR2I
TPX2	CLASP1
NCKIPSD	IGKV4-1
PCDHA3	PCDHGB7
PSMA4	PSMA8
CSF3	CSF2RA
BMPR2	TAB2
RPS15A	SMG8
MRPS5	MRPS18C
CLTC	GRM5
EBF1	HOXC6
GNAI1	PDYN
FCER1G	HCLS1
NCBP2	PNRC2
NR3C1	PER1
TFIP11	PRPF6
HFE2	BMPR1B
INPP5D	PIK3CG
REEP1	OR2Z1
GRK3	OR2K2
NCKIPSD	CD3G
ENAH	ROBO1
SNRPC	LSM5
TNF	MED29
PPIH	LSM2
ABL1	SHC2
WDR33	WBP4
PLCE1	DGKD
CDC42	ACTC1
PSMA5	PSMB1
SIRT6	ZNF280A
EIF4E	RPS6
CRK	ABL1
PSME1	APC
SNAPC3	ZNF143
NFE2L2	MAFG
TUBB2B	TUBA1C
PDCL	GNG2
GAK	M6PR
DHX38	PTBP1
WIPF1	V2-19
DSN1	MAD2L1
CENPH	NUP43
USF1	GTF2H2
AQR	SNRPD2
SMURF2	HERC5
RPS27A	USP10
TAF1A	TBP
TBK1	UBA52
RQCD1	EIF4E
VTN	PTK2
ACTB	CTNNA2
ARPC2	IGLV1-40
CSNK1D	CEP290
KRT6B	KRT32
NANOG	ZIC3
JUNB	JUN
MYO1C	TAF1C
PRPF8	SNRNP48
NRG3	MAPK3
HSPA8	HNRNPF
EGR1	NUDT6
SMAD6	SMAD1
SSR1	RPL38
MAP3K8	MAP3K14
POU2F1	UROS
EFNA5	FGFR2
LIF	JAK2
TOPBP1	UBE2T
CUL4B	ZNF830
MYLK4	MYL6B
CPSF4	DDX39A
ANK1	BET1L
TRPV1	PLCG1
RNF8	SMC3
HS3ST1	SDC4
MLH3	TOP3A
PAFAH1B1	NUDC
OR4X2	GNGT1
FRAT1	CSNK1G3
POLR3G	POLR3E
XCR1	GNAQ
P3H1	COL15A1
CYFIP1	IGKV5-2
HNRNPC	POLR2H
NMDAR2C	CALML6
RFC2	MDM2
CCAR1	USP39
ELL	AFF4
DKFZP686J08252	TUBA8
FBF1	CEP76
HNRNPK	SRSF2
ADCY7	ADCY5
ATF2	HIST1H2BA
IGKV1-17	C2
IL11RA	IL12RB2
TNF	MAP4K4
IGHV3-23	IGHV4-39
PTPN11	CSF2RA
CTCF	POLR2B
POLR2H	TAF1C
REV1	TRIM25
RBM22	SNRPA1
AGFG1	AMPH
COL5A3	ITGA8
PCDHA2	DCHS1
CLTB	ARPC4
HSP90AA1	PCM1
RBBP7	CENPA
DDX23	SNRPD1
IL4R	STAT5A
ARAP2	RHOC
RPS4X	RPS25
ISG15	UBE2N
ARHGEF7	UBB
CRK	V5-1
STAT5A	GAB3
GNB1	GLP1R
PRPF3	DDX42
IGKV A18	WASF2
MYH13	ACTG1
IGHV3-13	IGHV4-39
PDCD11	MPHOSPH10
UVSSA	POLR2J
SMNDC1	ISY1
ACTG1	V4-1
GNG3	KCNJ10
IGHA1	AMBP
WNT5A	LRP5L
SRSF7	ELAVL1
POLR2J	PCNA
FPR1	PIK3C2G
MGST2	CYP3A4
PCDHA5	PCDH11Y
CAMK2D	MAPK1
MRPL1	MRPL18
SRRM2	POLR2C
UBE2I	RGPD8
CLTC	UBA52
SRSF6	SRRM1
CSF2	PRKACB
MRPL45	MRPL12
IGLV2-8	IGKV5-2
HIST1H2AJ	HIST1H2BL
SMARCB1	SMAD1
AR	NR3C1
OFD1	FGFR1OP
INPP4B	INPPL1
GOSR2	ANK2
TCF12	BCL3
NOL6	RPS7
CPSF3	SF3A1
KDR	IQGAP1
MRPL36	MRPL20
TMEM126B	NDUFB4
PSME2	PSMD12
HERC6	ZNRF2
PCDHB11	PCDHB6
CD2BP2	SNU13
TRAM1	RPL19
SNRPE	HNRNPF
OR10G3	GNG7
NUPL2	SNRPG
SUN2	LMNB1
CPSF3	SNU13
CTCF	PHB
POLR2F	CWC15
PCNT	CEP83
SYF2	CPSF2
DCLRE1A	EME1
SSR4	RPS15A
ITGA3	ITGB2
MRPL49	MRPL22
PRKCZ	LNPEP
MAPK14	LSP1
GNGT1	KCNJ16
GRK2	OR2T12
IGHG2	CD3G
RAD51C	BRIP1
FBXW9	UBE2A
UPF3A	CASC3
SH3GL2	DVL2
WBP4	HNRNPR
ARPC5	IGLC1
CREBBP	PYGO1
POLR2G	POU2F1
KRT78	KRT25
PRKAR1A	CSK
CD44	MMP2
KCNQ3	KCNAB3
ADRM1	PSMB11
DMC1	RPA3
NUP85	NDE1
ZW10	PMF1
NUP210	NUP88
SRRM1	MAGOH
IFNA1	IL7R
NDUFB2	NDUFA12
TPM2	CALD1
RPL18A	SMG1
SETDB1	THAP7
EP300	CRKL
BUD31	HNRNPA1
ACTB	ACTR5
FBXL22	FBXO2
PARVA	COL1A1
IGKV2D-40	CRK
SNRPD2	SF3B5
EIF5B	RPL11
PROC	F8
COPA	YKT6
ACVRL1	BMPR2
CDK5RAP2	TUBGCP3
HAUS8	CEP192
GRK3	OR51F1
PSME1	PSMA3
ELAVL2	SNRPB2
GNGT2	LPAR3
CTNNA1	CDH20
IGKC	TEC
RTP1	OR2M5
SNRNP40	ELAVL2
MRPS27	MRPL46
SLU7	DNAJC8
PLCG1	FGF5
NDUFAF1	NDUFS5
H3F3A	COMMD3
PAGR1	MAFB
SP1	ODC1
ZFYVE28	TSG101
OCRL	ITSN1
UTP14A	RPS14
RBM22	SF3B4
MED27	MED13L
IGKV3D-20	VAV3
IGLC1	V3-4
DCTN4	COPB1
ERCC6	RPA1
HCK	V1-16
GP1BA	GP9
POTEKP	COL8A2
U2AF1L5	WBP11
U2AF1L4	LSM3
CCNT1	SUPT4H1
DSN1	NUP85
CD2BP2	CWC25
UBE2T	FANCE
RPL38	SEC61B
SEC24B	HLA-H
PTCD3	MRPS24
CDH16	PCDHB7
CBX3	POLR2K
FBXL22	FBXO32
SRSF4	DDX46
HMHA1	RAC1
XPO1	ITGB3BP
SF3B1	PTBP1
PCF11	SF3A2
GRIA4	GRIN2D
ATG12	GABARAPL1
SF3A3	CD2BP2
JAK2	GNAO1
SNRNP70	PHF5A
EGR1	FABP3
TRAPPC9	TRAPPC13
WIPF3	IGKV3-11
ZWILCH	BUB3
CENPQ	CENPO
CRP	V2-17
MRPL44	MRPL19
POLR2F	DEK
HIST1H2BN	CTR9
U2AF1L5	GTF2F1
CAMK2D	EPB41L1
ORMDL1	SPTLC2
SETDB1	ZNF117
OR4D11	GNAL
TRIP10	APOB
GNAI3	TAS2R30
HIST1H2BJ	H2AFB2
ATF3	PENK
TERF1	ACD
RPL14	EEFSEC
PDGFB	DOK1
CNPY3	TLR7
LAMC3	LAMA2
PIAS3	SMAD2
MRPL18	GFM1
PPP2R1A	STAT1
VCAM1	PTK2
FBXO21	TRIM69
CASP14	SPRR2F
ETS1	MMP7
TLR9	IRAK2
CENPI	MAPRE1
POLR2B	CCNH
INO80C	CETN2
POFUT2	ADAMTSL4
BMP6	TGFBR1
PTCD3	ERAL1
IWS1	CTR9
NPHS1	SPTAN1
IGKV3-20	FYN
RPS27	RPS20
SETDB1	ZNF595
EIF4E	EIF3I
MAP3K7	IKBKB
NDUFA12	NDUFA1
ARRB1	CSNK2A1
ARHGDIG	NGFR
GTF2H5	NELFB
SMAD4	POLR2I
LAMA2	ITGA6
POLR2H	SNRPG
RAF1	F2
LAMA5	PRNP
AP2B1	FNBP1L
MYC	PFDN5
AKT1	MAP3K14
STX6	NAPA
CEP250	YWHAE
CEP290	DYNLL1
CSF3	IL2RB
FGF18	EGFR
PSEN2	ERN2
CCNB1	AURKB
EP300	H3F3A
IGHV1-69	IGHV2-70
PSMB7	SKP1
SKP2	TRIM36
ACTR2	IGKV4-1
SNAPC2	ELL
NOC4L	FCF1
HEY1	ITGB1BP1
TAP2	HLA-A
RPS9	RPL31
IGHV3-23	SH3KBP1
CENPL	CENPO
GRK3	ARRB1
CACNG4	CACNA1S
FANCL	UBC
SKP1	MAP3K14
PSMB2	ANAPC1
PSMB5	CUL1
PPP2CA	ETF1
PSMD11	PSMC3
CPSF3	U2AF1L5
IGHV2-70	ARPC2
GNG12	KCNJ12
NEDD1	CNTRL
PPARGC1A	MED19
PCDH18	DCHS1
C2CD5	EXOC4
CTNNA3	PCDH7
SUPT6H	SUPT5H
RAE1	FIP1L1
ADCY8	GNG8
SIN3B	TGS1
POLR2I	EFTUD2
FBXO9	FBXL4
IGHV3-7	C2
CTCF	ZNF217
AR	GNAI3
CENPN	RUVBL1
EMD	LMNA
HEL-S-117	UGT2A1
IFT88	IFT20
WNT1	MED15
ATF2	CRTC3
CBL	ARPC3
PCDHB2	PCDH9
IGHV	FCGR1A
NUP155	WDR33
ARL2	ARL2BP
ATXN7L3	TADA1
PRKCB	TTF2
TLR2	TNF
WNT11	CSNK1E
EXOSC3	RRP36
CRK	IGKV5-2
KAT2B	MEF2C
REEP1	OR2A2
KCNJ9	GABBR2
GSK3B	TAF1C
IFNA2	IL4R
NBN	RHNO1
GTF2B	SNAPC1
EIF2B1	EIF2S3
SNRPA	SF1
SKIV2L2	SNRPD2
KL	ATP1B3
PSMB9	PRICKLE1
PRKAR2B	CEP63
COG7	TMEM115
PCNA	POLI
ST3GAL2	KERA
RPS3	RPL26
OR2A12	GNG13
CEP72	HAUS6
PLK4	TUBG2
CDK7	TAF11
GNAQ	NMUR2
IGHV	CD22
ACTN3	COL17A1
PABPC1	RPS19
SFRP4	WNT7A
PHF5A	POLR2E
FST	INHBC
POLR2E	CWC27
IFT52	IFT43
AKT2	MAP3K8
GPSM1	PNOC
HIST2H3A	JARID2
TCTN2	KIF24
B4GALT5	MUC7
APBB2	LRP3
PPP2R5C	CACNG3
IGHV3-23	DOCK1
COG1	GOLGA2
DCTN6	KIF2A
HNRNPU	RNPS1
GEMIN6	GEMIN5
OR5AK2	GNB1
INTS1	VWA9
CAMK2G	RRAS
NABP2	INTS10
INTS12	ZC3H8
WNT16	GNA15
SF3A3	NUDT21
POLD2	POLR2K
SORBS1	TPM4
KIF18A	MAD2L1
SNRPE	PPIE
ACTR3	V1-11
CDK2	MCM2
IRAK1	MAP4K4
RBM22	SRSF5
FBXW12	FBXW5
ARL1	VPS51
RTP1	OR10K1
ITGB3	RAP1B
NUP107	SRSF2
CTNND1	JUP
NUP107	IPO8
UTP4	KRR1
XIAP	APAF1
PFDN4	CCT2
CSK	HLA-DQA2
HIST1H3A	POLR2D
RAC2	MAP3K6
EPHB6	LYN
NCK1	WASL
PIK3R1	PIK3CA
PTPN11	PRKCI
PBX3	CEBPG
STAG2	SKA1
CLTC	ACTR3
CABIN1	HMGA2
FKBP3	HDAC1
GNAI1	PLCG1
POLD2	CDK7
TLR7	MYD88
PLCD3	PRKCG
PSMD7	CDKN1A
CYFIP2	IGKV2D-40
IGKV2-30	V2-11
IGHV3-33	LYN
HIST1H2BB	HIST3H2A
NDUFA9	MT-ND6
SF3B4	CSTF2T
PPP2CA	PIN1
GTF2H4	TAF7
YY1	COPS7A
LIMS1	PARVB
SNRNP27	CWC25
IGKV1D-12	IGHV3-48
POLR2I	INTS8
SNRPD1	SF3A3
SNW1	USP39
FGG	BCAR1
F2R	GNB1
HSPA8	SYT9
MED23	MED12
TUBAL3	TUBB
EVC2	EVC
CREBBP	E2F1
ESR1	CARD10
CACNG2	GRIA1
SP3	ESR1
SUMO3	DDB1
DDX46	PCF11
HERC6	FBXL14
SIAH1	FBXO40
FCHO2	UBC
WDR60	IFT80
ATP5L	ATP5I
HNRNPUL1	HNRNPA2B1
CWC25	SYMPK
EP300	PTMA
INS	BET1
NUDT21	DDX46
POLDIP3	EIF4A3
RHOD	ARHGDIA
HIST1H3A	MNAT1
CDK8	SFN
PIK3C2G	PIP5K1A
RPL7A	RPS24
PCSK6	NOTCH1
TUBGCP3	PAFAH1B1
HDAC7	HIST2H2AC
FBXL22	FBXL13
AHCTF1	ITGB3BP
USP8	EGF
MUC20	GRB2
POU2F1	POLR1C
BBS4	BBS1
RNPS1	RPS25
ARCN1	INS
IRF7	CREBBP
MCM2	ORC4
MSR1	CALR
GSTO1	DKFZP686I24235
STX5	TRAPPC2L
MRPL44	MRPL13
WASF2	IGHV2-5
RPA3	POLR2C
GNAI3	GNG3
UPF3B	PPP2R1A
STAT3	IL6R
KNTC1	BUB1B
TTBK2	HAUS6
HLA-DQB1	CLTC
IL2	STAM2
DLG4	GRIK2
ITSN1	PICALM
SEC24B	AREG
CXCR1	SOS2
PABPC1	EIF3H
UBB	HECTD2
RACGAP1	TMED10
RPL7	RPL19
SPTBN2	TMED9
FANCG	ERCC1
YES1	STAT1
PRPF6	HNRNPUL1
KIF23	HLA-DRB4
TRIM25	MAVS
SEH1L	THOC3
RPL21	RPL38
ARRB2	FZD1
SF3B5	NCBP2
CDH23	PCDH1
XPC	DDB2
ITGB2	ITGA10
SNRNP27	SNRPD1
NAA10	HIF1A
CEBPB	FOXF1
CCNH	RNGTT
U2AF1L5	SNRPN
NTSR2	GNG2
PPP2R2A	RPS19
TCF7	TEAD2
CATSPER3	CATSPERB
PSMF1	CD4
RIPK1	CASP8
IMPA1	PLCZ1
ARNTL	PER3
PLAT	ITGAM
DHX9	SNRPN
CXCL12	STAT2
SKIV2L2	DDX47
PRKCB	SLC2A2
SNU13	SRRM2
CDC20	CENPE
